,label
b1001,1
b1002,1
b1003,0
b1004,1
b1005,1
b1006,1
b1007,0
b1008,0
b1009,0
b1010,1
b1011,0
b1012,1
b1013,0
b1014,0
b1015,1
b1016,0
b1017,1
b1018,0
b1019,0
b1020,0
b1021,1
b1022,0
b1023,0
b1024,0
b1025,1
b1026,1
b1027,0
b1028,0
b1029,1
b1030,0
b1031,0
b1032,0
b1033,1
b1034,1
b1035,1
b1036,1
b1037,0
b1038,1
b1039,1
b1040,0
b1041,1
b1042,1
b1043,1
b1044,0
b1045,0
b1046,1
b1047,0
b1048,1
b1049,1
b1050,1
b1051,1
b1052,0
b1053,0
b1054,0
b1055,0
b1056,0
b1057,0
b1058,1
b1059,1
b1060,1
b1061,1
b1062,1
b1063,1
b1064,0
b1065,0
b1066,0
b1067,1
b1068,0
b1069,1
b1070,1
b1071,0
b1072,1
b1073,1
b1074,1
b1075,1
b1076,1
b1077,0
b1078,1
b1079,0
b1080,0
b1081,0
b1082,0
b1083,1
b1084,0
b1085,0
b1086,0
b1087,1
b1088,1
b1089,1
b1090,0
b1091,0
b1092,0
b1093,1
b1094,0
b1095,1
b1096,0
b1097,0
b1098,1
b1099,1
b1100,1
b1101,0
b1102,0
b1103,0
b1104,0
b1105,0
b1106,0
b1107,1
b1108,0
b1109,0
b1110,0
b1111,0
b1112,1
b1113,1
b1114,0
b1115,0
b1116,0
b1117,1
b1118,1
b1119,0
b1120,0
b1121,0
b1122,0
b1123,0
b1124,0
b1125,1
b1126,1
b1127,1
b1128,0
b1129,1
b1130,0
b1131,1
b1132,1
b1133,0
b1134,0
b1135,0
b1136,1
b1137,1
b1138,0
b1139,1
b1140,1
b1141,0
b1142,1
b1143,1
b1144,0
b1145,0
b1146,0
b1147,0
b1148,1
b1149,0
b1150,0
b1151,0
b1152,1
b1153,0
b1154,0
b1155,1
b1156,1
b1157,1
b1158,0
b1159,1
b1160,0
b1161,0
b1162,0
b1163,0
b1164,0
b1165,0
b1166,0
b1167,1
b1168,1
b1169,0
b1170,0
b1171,0
b1172,1
b1173,0
b1174,0
b1175,0
b1176,0
b1177,0
b1178,0
b1179,0
b1180,0
b1181,0
b1182,0
b1183,0
b1184,1
b1185,1
b1186,0
b1187,0
b1188,0
b1189,0
b1190,1
b1191,1
b1192,0
b1193,0
b1194,1
b1195,0
b1196,1
b1197,0
b1198,0
b1199,1
b1200,0
b1201,0
b1202,0
b1203,1
b1204,1
b1205,1
b1206,1
b1207,1
b1208,0
b1209,0
b1210,1
b1211,0
b1212,0
b1213,0
b1214,0
b1215,1
b1216,0
b1217,0
b1218,0
b1219,0
b1220,0
b1221,1
b1222,0
b1223,0
b1224,1
b1225,1
b1226,1
b1227,1
b1228,0
b1229,1
b1230,0
b1231,0
b1232,1
b1233,0
b1234,0
b1235,0
b1236,1
b1237,0
b1238,0
b1239,0
b1240,1
b1241,0
b1242,0
b1243,1
b1244,0
b1245,0
b1246,1
b1247,0
b1248,1
b1249,0
b1250,0
b1251,0
b1252,1
b1253,1
b1254,0
b1255,1
b1256,0
b1257,0
b1258,1
b1259,0
b1260,1
b1261,0
b1262,1
b1263,1
b1264,0
b1265,0
b1266,1
b1267,0
b1268,1
b1269,0
b1270,0
b1271,0
b1272,0
b1273,1
b1274,0
b1275,1
b1276,1
b1277,0
b1278,0
b1279,1
b1280,0
b1281,0
b1282,0
b1283,0
b1284,0
b1285,0
b1286,1
b1287,0
b1288,0
b1289,1
b1290,1
b1291,1
b1292,0
b1293,0
b1294,1
b1295,0
b1296,0
b1297,1
b1298,0
b1299,1
b1300,1
b1301,1
b1302,1
b1303,1
b1304,1
b1305,0
b1306,1
b1307,0
b1308,0
b1309,0
b1310,0
b1311,0
b1312,1
b1313,0
b1314,0
b1315,1
b1316,0
b1317,0
b1318,0
b1319,0
b1320,0
b1321,1
b1322,0
b1323,1
b1324,1
b1325,0
b1326,1
b1327,1
b1328,1
b1329,1
b1330,0
b1331,0
b1332,1
b1333,0
b1334,0
b1335,0
b1336,0
b1337,1
b1338,1
b1339,0
b1340,1
b1341,1
b1342,0
b1343,0
b1344,0
b1345,1
b1346,1
b1347,1
b1348,1
b1349,0
b1350,0
b1351,0
b1352,1
b1353,0
b1354,1
b1355,0
b1356,0
b1357,0
b1358,0
b1359,0
b1360,1
b1361,1
b1362,0
b1363,0
b1364,1
b1365,1
b1366,1
b1367,1
b1368,1
b1369,1
b1370,1
b1371,0
